dealer,player,handtype,action,Q-value
7, 22, 0, 0, -100.0
7, 22, 0, 1, -100.0
7, 22, 1, 0, -100.0
7, 22, 1, 1, -100.0
8, 0, 0, 0, 0.0
8, 0, 0, 1, 0.0
8, 0, 1, 0, 0.0
8, 0, 1, 1, 0.0
8, 1, 0, 0, 0.0
8, 1, 0, 1, 0.0
8, 1, 1, 0, 0.0
8, 1, 1, 1, 0.0
8, 2, 0, 0, 0.0
8, 2, 0, 1, 0.0
8, 2, 1, 0, 0.0
8, 2, 1, 1, 0.0
8, 3, 0, 0, 0.0
8, 3, 0, 1, 0.0
8, 3, 1, 0, 0.0
8, 3, 1, 1, 0.0
8, 4, 0, 0, 0.0
8, 4, 0, 1, 0.0
8, 4, 1, 0, 1374.222025284186
8, 4, 1, 1, 1495.6229953817294
8, 5, 0, 0, 0.0
8, 5, 0, 1, 0.0
8, 5, 1, 0, 1391.3150976192467
8, 5, 1, 1, 1440.8191144578316
8, 6, 0, 0, 0.0
8, 6, 0, 1, 0.0
8, 6, 1, 0, 1348.192217365951
8, 6, 1, 1, 1381.5994187733777
8, 7, 0, 0, 0.0
8, 7, 0, 1, 0.0
8, 7, 1, 0, 1355.8919976132338
8, 7, 1, 1, 1359.3523705657847
8, 8, 0, 0, 0.0
8, 8, 0, 1, 0.0
8, 8, 1, 0, 1743.9899245438155
